# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
0.05,2.5,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.07,2.5,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.07,5.0,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.1,5.0,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.1,20.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.1,12.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.3,12.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.3,7.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.5,15.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.5,23.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
0.5,30.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
1.0,30.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
1.0,40.0,3.333333E-05,2.65E+03,0.001,0.5,13000,1E+00,0
2.0,40.0,3.333333E-05,2.65E+03,0.001,0.5,20000,1E+00,0
2.0,60.0,3.333333E-05,2.65E+03,0.001,0.5,20000,1E+00,0
1.5,34.0,3.333333E-05,2.65E+03,0.001,0.5,20000,1E+00,0
1.5,10.0,3.333333E-05,2.65E+03,0.001,0.5,40000,1E+00,0
0.7,50.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.7,100.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.07,5.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.4,18.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.25,27.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.15,4.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.82,10.0,3.333333E-05,2.65E+03,0.001,0.5,20000,1E+00,0
0.17,70.0,3.333333E-05,2.65E+03,0.001,0.5,9000,1E+00,0
1.77,70.0,3.333333E-05,2.65E+03,0.001,0.5,30000,1E+00,0
2.5,70.0,3.333333E-05,2.65E+03,0.001,0.5,30000,1E+00,0
0.01,2.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.02,2.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.04,6.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
1.4,45.0,3.333333E-05,2.65E+03,0.001,0.5,30000,1E+00,0
1.3,67.0,3.333333E-05,2.65E+03,0.001,0.5,30000,1E+00,0
1.6,100.0,3.333333E-05,2.65E+03,0.001,0.5,30000,1E+00,0
2.2,109.0,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
1.8,68.0,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.9,48.0,3.333333E-05,2.65E+03,0.001,0.5,15000,1E+00,0
0.8,59.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.9,45.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
0.9,69.0,3.333333E-05,2.65E+03,0.001,0.5,6666,1E+00,0
0.62,40.0,3.333333E-05,2.65E+03,0.001,0.5,6666,1E+00,0
1.4,59.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
2.3,59.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
2.6,54.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1E+00,0
