# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
2.6,54.0,3.333333E-05,2.65E+03,0.001,0.5,10000,1,0
0.4,6.0,3.333333E-05,2.65E+03,0.001,0.5,5000,1,0
1.5,34.0,3.333333E-05,2.65E+03,0.001,0.5,6666,1,0
1.0,30.0,3.333333E-05,2.65E+03,0.001,0.5,6666,1,0
0.01,2.0,3.333333E-05,2.65E+03,0.001,0.5,2333,1,0
0.07,2.5,3.333333E-05,2.65E+03,0.001,0.5,3333,1,0
0.15,4.0,3.333333E-05,2.65E+03,0.001,0.5,4000,1,0
0.3,7.0,3.333333E-05,2.65E+03,0.001,0.5,4000,1,0
0.1,20.0,3.333333E-05,2.65E+03,0.001,0.5,3333,1,0
0.02,2.0,3.333333E-05,2.65E+03,0.001,0.5,1666,1,0
2.0,40.0,3.333333E-05,2.65E+03,0.001,0.5,8333,1,0
2.6,54.0,3.333333E-05,2.65E+03,0.001,0.3,15000,1,0
0.4,6.0,3.333333E-05,2.65E+03,0.001,0.3,15000,1,0
1.5,34.0,3.333333E-05,2.65E+03,0.001,0.3,20000,1,0
1.0,30.0,3.333333E-05,2.65E+03,0.001,0.3,20000,1,0
0.01,2.0,3.333333E-05,2.65E+03,0.001,0.3,5000,1,0
0.07,2.5,3.333333E-05,2.65E+03,0.001,0.3,10000,1,0
0.15,4.0,3.333333E-05,2.65E+03,0.001,0.3,12000,1,0
0.3,7.0,3.333333E-05,2.65E+03,0.001,0.3,12000,1,0
0.1,20.0,3.333333E-05,2.65E+03,0.001,0.3,6000,1,0
0.02,2.0,3.333333E-05,2.65E+03,0.001,0.3,5000,1,0
2.0,40.0,3.333333E-05,2.65E+03,0.001,0.3,25000,1,0
2.6,54.0,3.333333E-05,2.65E+03,0.001,1.0,15000,1,0
0.4,6.0,3.333333E-05,2.65E+03,0.001,1.0,15000,1,0
1.5,34.0,3.333333E-05,2.65E+03,0.001,1.0,15000,1,0
1.0,30.0,3.333333E-05,2.65E+03,0.001,1.0,10000,1,0
0.01,2.0,3.333333E-05,2.65E+03,0.001,1.0,3000,1,0
0.07,2.5,3.333333E-05,2.65E+03,0.001,1.0,10000,1,0
0.15,4.0,3.333333E-05,2.65E+03,0.001,1.0,12000,1,0
0.3,7.0,3.333333E-05,2.65E+03,0.001,1.0,12000,1,0
0.1,20.0,3.333333E-05,2.65E+03,0.001,1.0,2000,1,0
0.02,2.0,3.333333E-05,2.65E+03,0.001,1.0,5000,1,0
2.0,40.0,3.333333E-05,2.65E+03,0.001,1.0,20000,1,0
