# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
2.6E+00,5.4E+01,3.333333E-05,2.65E+03,1E-03,5E-01,10000,4,0
4E-01,6E+00,3.333333E-05,2.65E+03,1E-03,5E-01,5000,4,0
1.5E+00,3.4E+01,3.333333E-05,2.65E+03,1E-03,5E-01,6666,4,0
1E+00,3E+01,3.333333E-05,2.65E+03,1E-03,5E-01,6666,4,0
1E-02,2E+00,3.333333E-05,2.65E+03,1E-03,5E-01,2333,4,0
7E-02,2.5E+00,3.333333E-05,2.65E+03,1E-03,5E-01,3333,4,0
1.5E-01,4E+00,3.333333E-05,2.65E+03,1E-03,5E-01,4000,4,0
3E-01,7E+00,3.333333E-05,2.65E+03,1E-03,5E-01,4000,4,0
1E-01,2E+01,3.333333E-05,2.65E+03,1E-03,5E-01,3333,4,0
2E-02,2E+00,3.333333E-05,2.65E+03,1E-03,5E-01,1666,4,0
2E+00,4E+01,3.333333E-05,2.65E+03,1E-03,5E-01,8333,4,0
2.6E+00,5.4E+01,3.333333E-05,2.65E+03,1E-04,5E-01,10000,4,0
4E-01,6E+00,3.333333E-05,2.65E+03,1E-04,5E-01,6666,4,0
1.5E+00,3.4E+01,3.333333E-05,2.65E+03,1E-04,5E-01,6666,4,0
1E+00,3E+01,3.333333E-05,2.65E+03,1E-04,5E-01,6666,4,0
1E-02,2E+00,3.333333E-05,2.65E+03,1E-04,5E-01,3333,4,0
7E-02,2.5E+00,3.333333E-05,2.65E+03,1E-04,5E-01,5000,4,0
1.5E-01,4E+00,3.333333E-05,2.65E+03,1E-04,5E-01,5000,4,0
3E-01,7E+00,3.333333E-05,2.65E+03,1E-04,5E-01,5000,4,0
1E-01,2E+01,3.333333E-05,2.65E+03,1E-04,5E-01,3333,4,0
2E-02,2E+00,3.333333E-05,2.65E+03,1E-04,5E-01,2666,4,0
2E+00,4E+01,3.333333E-05,2.65E+03,1E-04,5E-01,10000,4,0
