# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
2.6E+00,5.4E+01,2E-03,2.65E+03,1E-03,5E-01,19000,1E+00,0
4E-01,6E+00,2E-03,2.65E+03,1E-03,5E-01,8000,1E+00,0
1.5E+00,3.4E+01,2E-03,2.65E+03,1E-03,5E-01,18000,1E+00,0
1E+00,3E+01,2E-03,2.65E+03,1E-03,5E-01,9000,1E+00,0
1E-02,2E+00,2E-03,2.65E+03,1E-03,5E-01,7000,1E+00,0
7E-02,2.5E+00,2E-03,2.65E+03,1E-03,5E-01,10000,1E+00,0
1.5E-01,4E+00,2E-03,2.65E+03,1E-03,5E-01,12000,1E+00,0
3E-01,7E+00,2E-03,2.65E+03,1E-03,5E-01,12000,1E+00,0
1E-01,2E+01,2E-03,2.65E+03,1E-03,5E-01,10000,1E+00,0
2E-02,2E+00,2E-03,2.65E+03,1E-03,5E-01,5000,1E+00,0
2E+00,4E+01,2E-03,2.65E+03,1E-03,5E-01,25000,1E+00,0
2.6E+00,5.4E+01,2E-04,2.65E+03,1E-03,5E-01,30000,1E+00,0
4E-01,6E+00,2E-04,2.65E+03,1E-03,5E-01,15000,1E+00,0
1.5E+00,3.4E+01,2E-04,2.65E+03,1E-03,5E-01,20000,1E+00,0
1E+00,3E+01,2E-04,2.65E+03,1E-03,5E-01,20000,1E+00,0
1E-02,2E+00,2E-04,2.65E+03,1E-03,5E-01,5000,1E+00,0
7E-02,2.5E+00,2E-04,2.65E+03,1E-03,5E-01,10000,1E+00,0
1.5E-01,4E+00,2E-04,2.65E+03,1E-03,5E-01,12000,1E+00,0
3E-01,7E+00,2E-04,2.65E+03,1E-03,5E-01,12000,1E+00,0
1E-01,2E+01,2E-04,2.65E+03,1E-03,5E-01,6000,1E+00,0
2E-02,2E+00,2E-04,2.65E+03,1E-03,5E-01,5000,1E+00,0
2E+00,4E+01,2E-04,2.65E+03,1E-03,5E-01,25000,1E+00,0
2.6E+00,5.4E+01,2E-05,2.65E+03,1E-03,5E-01,30000,1E+00,0
4E-01,6E+00,2E-05,2.65E+03,1E-03,5E-01,15000,1E+00,0
1.5E+00,3.4E+01,2E-05,2.65E+03,1E-03,5E-01,20000,1E+00,0
1E+00,3E+01,2E-05,2.65E+03,1E-03,5E-01,20000,1E+00,0
1E-02,2E+00,2E-05,2.65E+03,1E-03,5E-01,3000,1E+00,0
7E-02,2.5E+00,2E-05,2.65E+03,1E-03,5E-01,10000,1E+00,0
1.5E-01,4E+00,2E-05,2.65E+03,1E-03,5E-01,12000,1E+00,0
3E-01,7E+00,2E-05,2.65E+03,1E-03,5E-01,12000,1E+00,0
1E-01,2E+01,2E-05,2.65E+03,1E-03,5E-01,4000,1E+00,0
2E-02,2E+00,2E-05,2.65E+03,1E-03,5E-01,5000,1E+00,0
2E+00,4E+01,2E-05,2.65E+03,1E-03,5E-01,25000,1E+00,0
