# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
0.472000,5.823000,0.000982,2.65E+03,0.000478,0.500000,10000,1E+00,0
1.383000,25.216000,0.000436,2.65E+03,0.000882,0.500000,15000,1E+00,0
0.471000,7.489000,0.001552,2.65E+03,0.000029,0.500000,8000,1E+00,0
1.572000,28.796000,0.000173,2.65E+03,0.000972,0.500000,8000,1E+00,0
1.341000,28.436000,0.000715,2.65E+03,0.000480,0.500000,13000,1E+00,0
1.405000,23.290000,0.000320,2.65E+03,0.000140,0.500000,11000,1E+00,0
1.049000,14.540000,0.001482,2.65E+03,0.000256,0.500000,20000,1E+00,0
2.339000,47.728000,0.000316,2.65E+03,0.000865,0.500000,15000,1E+00,0
1.337000,13.849000,0.000062,2.65E+03,0.000137,0.500000,8000,1E+00,0
2.074000,47.782000,0.000639,2.65E+03,0.000797,0.500000,14000,1E+00,0
0.800000,38.593000,0.000885,2.65E+03,0.000894,0.300000,6000,1E+00,0
2.433000,46.521000,0.001906,2.65E+03,0.000341,0.300000,20000,1E+00,0
1.788000,29.183000,0.001293,2.65E+03,0.000022,0.300000,20000,1E+00,0
2.336000,29.382000,0.000439,2.65E+03,0.000556,0.300000,20000,1E+00,0
0.606000,28.792000,0.001508,2.65E+03,0.000932,0.300000,6000,1E+00,0
1.163000,53.075000,0.001268,2.65E+03,0.000032,0.300000,10000,1E+00,0
1.295000,29.612000,0.000427,2.65E+03,0.000797,0.300000,13000,1E+00,0
1.508000,30.185000,0.001583,2.65E+03,0.000960,0.300000,19000,1E+00,0
0.891000,32.814000,0.000392,2.65E+03,0.000971,0.300000,6000,1E+00,0
1.104000,33.001000,0.001648,2.65E+03,0.000909,0.300000,16000,1E+00,0
1.962000,17.917000,0.001095,2.65E+03,0.000281,1.000000,13000,1E+00,0
1.244000,40.138000,0.001054,2.65E+03,0.000945,1.000000,2000,1E+00,0
1.168000,10.751000,0.001541,2.65E+03,0.000774,1.000000,12000,1E+00,0
1.863000,44.769000,0.000488,2.65E+03,0.000352,1.000000,4000,1E+00,0
0.206000,44.752000,0.001342,2.65E+03,0.000548,1.000000,1000,1E+00,0
0.096000,12.072000,0.000817,2.65E+03,0.000155,1.000000,1000,1E+00,0
1.905000,37.355000,0.001899,2.65E+03,0.000899,1.000000,7000,1E+00,0
0.627000,48.837000,0.000097,2.65E+03,0.000536,1.000000,1000,1E+00,0
2.560000,33.430000,0.000750,2.65E+03,0.000137,1.000000,8000,1E+00,0
2.552000,45.489000,0.000757,2.65E+03,0.000811,1.000000,7000,1E+00,0
0.797000,13.102000,0.001290,2.65E+03,0.000594,0.150000,19000,1E+00,0
1.711000,37.753000,0.000931,2.65E+03,0.000657,0.150000,15000,1E+00,0
0.647000,4.269000,0.001901,2.65E+03,0.000929,0.150000,18000,1E+00,0
1.676000,38.516000,0.000791,2.65E+03,0.000786,0.150000,19000,1E+00,0
1.620000,32.287000,0.000211,2.65E+03,0.000269,0.150000,15000,1E+00,0
1.520000,24.023000,0.001174,2.65E+03,0.000620,0.150000,16000,1E+00,0
0.724000,41.821000,0.000815,2.65E+03,0.000940,0.150000,8000,1E+00,0
0.310000,34.668000,0.001906,2.65E+03,0.000366,0.150000,4000,1E+00,0
0.912000,13.140000,0.001306,2.65E+03,0.000126,0.150000,14000,1E+00,0
0.579000,10.660000,0.001503,2.65E+03,0.000025,0.150000,12000,1E+00,0
0.645000,36.060000,0.000362,2.65E+03,0.000739,1.500000,1000,1E+00,0
1.953000,51.046000,0.000945,2.65E+03,0.000261,1.500000,2000,1E+00,0
0.238000,26.873000,0.001635,2.65E+03,0.000909,1.500000,1000,1E+00,0
1.652000,17.769000,0.000352,2.65E+03,0.000046,1.500000,2000,1E+00,0
0.904000,32.808000,0.001233,2.65E+03,0.000750,1.500000,1000,1E+00,0
2.515000,48.589000,0.001842,2.65E+03,0.000065,1.500000,4000,1E+00,0
0.515000,17.469000,0.001562,2.65E+03,0.000843,1.500000,1000,1E+00,0
1.086000,20.321000,0.001055,2.65E+03,0.000292,1.500000,2000,1E+00,0
1.703000,32.623000,0.000570,2.65E+03,0.000183,1.500000,2000,1E+00,0
0.345000,32.971000,0.001207,2.65E+03,0.000768,1.500000,1000,1E+00,0
0.378000,39.325000,0.001640,2.65E+03,0.000108,2.000000,1000,1E+00,0
0.476000,27.431000,0.000855,2.65E+03,0.000894,2.000000,1000,1E+00,0
1.650000,48.002000,0.001856,2.65E+03,0.000812,2.000000,3000,1E+00,0
1.019000,4.954000,0.000826,2.65E+03,0.000484,2.000000,18000,1E+00,0
0.418000,18.960000,0.001044,2.65E+03,0.000637,2.000000,1000,1E+00,0
0.787000,23.341000,0.000511,2.65E+03,0.000621,2.000000,1000,1E+00,0
0.822000,25.747000,0.001805,2.65E+03,0.000138,2.000000,1000,1E+00,0
1.426000,46.261000,0.000932,2.65E+03,0.000140,2.000000,1000,1E+00,0
2.293000,23.332000,0.001530,2.65E+03,0.000924,2.000000,9000,1E+00,0
2.252000,51.664000,0.001898,2.65E+03,0.000550,2.000000,3000,1E+00,0
